Id,cooling,model,torque,bore_stroke,transmission,dry_weight,frame,fuel_control,lubrication,engine,rear_suspension,total_length,starter,displacement,rear_brakes,compression,ignition,total_width,valves_per_cylinder,front_suspension,fuel_capacity,total_height,rear_tire,make,gearbox,emission,fuel_consumption,type,top_speed,total_weight,ground_clearance,wheelbase,clutch,fuel_system,year,rear_wheel_travel,front_brakes,front_tire,seat_height,power,front_wheel_travel
2933,Liquid,650 Classic,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),180.0 kg (396.8 pounds),,,,"Single cylinder, four-stroke",Teleskopic units 80 mm,,Kick,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,Telescopic forks 150 mm,14.20 litres (3.75 US gallons),,130/90-16 ,Jawa-CZ,5-speed,,,Sport,155.0 km/h (96.3 mph),,,1525 mm (60.0 inches),,,2007,,Single disc,90/90-18 ,"712 mm (28.0 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 5250 RPM,
2934,Liquid,650 Dakar,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),195.0 kg (429.9 pounds),,,,"Single cylinder, four-stroke",Teleskopic units,,Kick,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,Telescopic forks,13.50 litres (3.57 US gallons),,140/80-17 ,Jawa-CZ,5-speed,,,Allround,165.0 km/h (102.5 mph),,,1518 mm (59.8 inches),,Carburettor,2007,,Double disc,110/90-19 ,"860 mm (33.9 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 5250 RPM,
2935,Liquid,650 Style,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),190.0 kg (418.9 pounds),,,,"Single cylinder, four-stroke",Teleskopic units 80 mm,,Kick,652.0 ccm (39.79 cubic inches),Single disc,9.7:1,,,,Telescopic forks 150 mm,13.50 litres (3.57 US gallons),,130/90-16 ,Jawa-CZ,5-speed,,,Sport,160.0 km/h (99.4 mph),,,1525 mm (60.0 inches),,Carburettor,2007,,Single disc,100/90-16 ,"712 mm (28.0 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 5250 RPM,
2936,Air,100 Robby,6.5 Nm (0.7 kgf-m or 4.8 ft.lbs) @ 5500 RPM,50.0 x 49.5 mm (2.0 x 1.9 inches),Chain   (final drive),82.0 kg (180.8 pounds),,,,"Single cylinder, four-stroke",Teleskopic units 70mm,,Kick,97.0 ccm (5.92 cubic inches),Expanding brake (drum brake),8.8:1,,,,Telescopic forks 80mm,24.60 litres (6.50 US gallons),,2.25-16 ,Jawa-CZ,4-speed,,,Sport,80.0 km/h (49.7 mph),,,1200 mm (47.2 inches),,,2006,,Single disc,2.00-16 ,"800 mm (31.5 inches) If adjustable, lowest setting.",6.4 HP (4.6  kW)) @ 7750 RPM,
2937,Air,125 Chopper,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,125.0 kg (275.6 pounds),,,,"Single cylinder, four-stroke",Telescopic units 80mm,,Kick,124.0 ccm (7.57 cubic inches),Expanding brake (drum brake),9.0:1,,,,Telescopic forks 150mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,5-speed,,,Sport,95.0 km/h (59.0 mph),,,1370 mm (53.9 inches),,,2006,,Single disc,-. ,"760 mm (29.9 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2938,Air,125 Dandy,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),Chain   (final drive),103.0 kg (227.1 pounds),,,,"Single cylinder, four-stroke",Central hydraulic,,Kick,124.0 ccm (7.57 cubic inches),Single disc,9.0:1,,,,Telescopic forks 170mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,5-speed,,,Sport,108.0 km/h (67.1 mph),,,1330 mm (52.4 inches),,,2006,,Single disc,-.x. ,"830 mm (32.7 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2939,Air,125 Sport,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,99.0 kg (218.3 pounds),,,,"Single cylinder, four-stroke",Central hydraulic,,Kick,124.0 ccm (7.57 cubic inches),Single disc,9.0:1,,,,Telescopic forks 170mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,5-speed,,,Sport,108.0 km/h (67.1 mph),,,1330 mm (52.4 inches),,,2006,,Single disc,-.x. ,"830 mm (32.7 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2940,Air,125 Travel,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),Chain   (final drive),115.0 kg (253.5 pounds),,,,"Single cylinder, four-stroke",Telescopic units 80mm,,Electric,124.0 ccm (7.57 cubic inches),Expanding brake (drum brake),9.0:1,,,,Telescopic forks 150mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,5-speed,,,Sport,95.0 km/h (59.0 mph),,,1370 mm (53.9 inches),,,2006,,Single disc,-x. ,"820 mm (32.3 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2941,Air,350 Basic,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",Telescopic units 80 mm,,Kick,343.5 ccm (20.96 cubic inches),Expanding brake (drum brake),9.8:1,,,,Telescopic forks 150 mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,4-speed,,,Sport,125.0 km/h (77.7 mph),,,1370 mm (53.9 inches),,Carburettor,2006,,Single disc,-.. ,"820 mm (32.3 inches) If adjustable, lowest setting.",22.8 HP (16.6  kW)) @ 5250 RPM,
2942,Air,350 Calefornian,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),Chain   (final drive),142.0 kg (313.1 pounds),,,,"Twin, two-stroke",Teleskopic units 80 mm,,Kick,343.5 ccm (20.96 cubic inches),Expanding brake (drum brake),9.8:1,,,,Telescopic forks 150 mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,4-speed,,,Sport,125.0 km/h (77.7 mph),,,1370 mm (53.9 inches),,,2006,,Single disc,,"760 mm (29.9 inches) If adjustable, lowest setting.",22.8 HP (16.6  kW)) @ 5250 RPM,
2943,Air,350 Chopper,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",Telescopic units,,Kick,343.5 ccm (20.96 cubic inches),Expanding brake (drum brake),9.8:1,,,,Telescopic forks,13.50 litres (3.57 US gallons),,,Jawa-CZ,4-speed,,,Sport,125.0 km/h (77.7 mph),,,1370 mm (53.9 inches),,Carburettor,2006,,Single disc,-.. ,"820 mm (32.3 inches) If adjustable, lowest setting.",22.8 HP (16.6  kW)) @ 5250 RPM,
2944,Air,350 Style,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",Telescopic units,,Kick,343.5 ccm (20.96 cubic inches),Expanding brake (drum brake),9.8:1,,,,Telescopic forks,13.50 litres (3.57 US gallons),,,Jawa-CZ,4-speed,,,Sport,125.0 km/h (77.7 mph),,,1370 mm (53.9 inches),,Carburettor,2006,,Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",22.8 HP (16.6  kW)) @ 5250 RPM,
2945,Air,350 Tramp,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),,148.0 kg (326.3 pounds),,,,"Twin, two-stroke",Telescopic units 80mm,,Kick,343.5 ccm (20.96 cubic inches),Expanding brake (drum brake),9.8:1,,,,Telescopic forks 150mm,13.50 litres (3.57 US gallons),,,Jawa-CZ,4-speed,,,Sport,120.0 km/h (74.6 mph),,,1400 mm (55.1 inches),,,2006,,Single disc,,"860 mm (33.9 inches) If adjustable, lowest setting.",22.8 HP (16.6  kW)) @ 5250 RPM,
2946,Liquid,50 Minarelli,4.7 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 8500 RPM,40.3 x 39.0 mm (1.6 x 1.5 inches),Chain   (final drive),88.0 kg (194.0 pounds),,,,"Single cylinder, two-stroke",Central units 150mm,,Kick,49.7 ccm (3.03 cubic inches),Expanding brake (drum brake),12.0:1,,,,Telescopic forks 170mm,24.60 litres (6.50 US gallons),,,Jawa-CZ,6-speed,,,Sport,90.0 km/h (55.9 mph),,,1320 mm (52.0 inches),,,2006,,Single disc,-. ,"800 mm (31.5 inches) If adjustable, lowest setting.",6.0 HP (4.4  kW)) @ 8700 RPM,
2947,Air,50 Robby,3.2 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 5500 RPM,39.0 x 41.4 mm (1.5 x 1.6 inches),,80.0 kg (176.4 pounds),,,,"Single cylinder, four-stroke",Telescopic unit 70mm,,Kick,49.5 ccm (3.02 cubic inches),Expanding brake (drum brake),8.5:1,,,,Telescopic forks 80mm,24.60 litres (6.50 US gallons),,,Jawa-CZ,4-speed,,,Sport,48.0 km/h (29.8 mph),,,1200 mm (47.2 inches),,,2006,,Single disc,-. ,"730 mm (28.7 inches) If adjustable, lowest setting.",3.4 HP (2.4  kW)) @ 8500 RPM,
2948,Liquid,650 Bizon,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,180.0 kg (396.8 pounds),,,,"Single cylinder, four-stroke",Teleskopic units 80 mm,,Kick,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,Telescopic forks 150 mm,13.50 litres (3.57 US gallons),,130/90-16 ,Jawa-CZ,5-speed,,,Sport,,,,1525 mm (60.0 inches),,,2006,,Single disc,90/90-18 ,"712 mm (28.0 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 5250 RPM,
2949,Liquid,650 Classic,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),180.0 kg (396.8 pounds),,,,"Single cylinder, four-stroke",Teleskopic units 80 mm,,Kick,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,Telescopic forks 150 mm,13.50 litres (3.57 US gallons),,130/90-16 ,Jawa-CZ,5-speed,,,Sport,,,,1525 mm (60.0 inches),,,2006,,Single disc,90/90-18 ,"712 mm (28.0 inches) If adjustable, lowest setting.",,
2950,,125 Dakar,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,99.0 kg (218.3 pounds),,,,"Single cylinder, four-stroke",,,Electric & kick,124.0 ccm (7.57 cubic inches),Single disc,9.0:1,,,,,6.50 litres (1.72 US gallons),,3.50-16 ,Jawa,5-speed,,,Enduro / offroad,108.0 km/h (67.1 mph),,,1330 mm (52.4 inches),,,2005,,Single disc,3.00-19 ,"830 mm (32.7 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2951,,125 Dandy,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,103.0 kg (227.1 pounds),,,,"Single cylinder, four-stroke",,,Electric & kick,124.0 ccm (7.57 cubic inches),Single disc,9.0:1,,,,,6.50 litres (1.72 US gallons),,3.00-17 ,Jawa,5-speed,,,Enduro / offroad,108.0 km/h (67.1 mph),,,1330 mm (52.4 inches),,,2005,,Single disc,2.75-17 ,"830 mm (32.7 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2952,,125 Sport,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,99.0 kg (218.3 pounds),,,,"Single cylinder, four-stroke",,,Electric & kick,124.0 ccm (7.57 cubic inches),Single disc,9.0:1,,,,,6.50 litres (1.72 US gallons),,3.50-16 ,Jawa,5-speed,,,Enduro / offroad,108.0 km/h (67.1 mph),,,1330 mm (52.4 inches),,,2005,,Single disc,3.00-19 ,"830 mm (32.7 inches) If adjustable, lowest setting.",12.6 HP (9.2  kW)) @ 8200 RPM,
2953,Air,50 Robby,3.2 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 5500 RPM,,,80.0 kg (176.4 pounds),,,,"Single cylinder, four-stroke",,,Electric & kick,49.5 ccm (3.02 cubic inches),Expanding brake (drum brake),,,,,,6.50 litres (1.72 US gallons),,3.00-16 ,Jawa,4-speed,,,Allround,45.0 km/h (28.0 mph),,,1200 mm (47.2 inches),,,2005,,Single disc,2.5-16 ,"730 mm (28.7 inches) If adjustable, lowest setting.",3.4 HP (2.4  kW)) @ 8500 RPM,
2954,,650 Bizon,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,180.0 kg (396.8 pounds),,,,"Single cylinder, four-stroke",,,Electric,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,,14.20 litres (3.75 US gallons),,130/90-16 ,Jawa,5-speed,,,Naked bike,155.0 km/h (96.3 mph),,,1525 mm (60.0 inches),,,2005,,Single disc,90/90-18 ,"750 mm (29.5 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 6500 RPM,
2955,,650 Classic,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,180.0 kg (396.8 pounds),,,,"Single cylinder, four-stroke",,,Electric,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,,14.20 litres (3.75 US gallons),,130/90-16 ,Jawa,5-speed,,,Custom / cruiser,155.0 km/h (96.3 mph),,,1525 mm (60.0 inches),,,2005,,Single disc,90/90-18 ,"712 mm (28.0 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 6500 RPM,
2956,,650 Style,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,190.0 kg (418.9 pounds),,,,"Single cylinder, four-stroke",,,Electric,651.9 ccm (39.78 cubic inches),Single disc,9.7:1,,,,,17.00 litres (4.49 US gallons),,130/90-16 ,Jawa,5-speed,,,Naked bike,165.0 km/h (102.5 mph),,,1518 mm (59.8 inches),,,2005,,Single disc,3.50-16 ,"820 mm (32.3 inches) If adjustable, lowest setting.",46.3 HP (33.8  kW)) @ 6500 RPM,
2957,Liquid,250 Master Tempo,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),132.0 kg (291.0 pounds),,,,"Single cylinder, two-stroke",,,,250.0 ccm (15.26 cubic inches),Single disc,,,,,,,,,Jawa,5-speed,,,Allround,,,,,,,2001,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",26.0 HP (19.0  kW)) @ 7000 RPM,
2958,,350 Chopper,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),,,,,,,,,,Jawa,4-speed,,,Custom / cruiser,,,,,,,2001,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2959,,350 Style,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),,,,,,,,,,Jawa,4-speed,,,Allround,,,,,,,2001,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2960,,350 Tramp,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),,,,,,,,,,Jawa,4-speed,,,Enduro / offroad,,,,,,,2001,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2961,Air,640 Classic,,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,343.5 ccm (20.96 cubic inches),Expanding brake,,,,,,17.00 litres (4.49 US gallons),,,Jawa,,,,Naked bike,120.0 km/h (74.6 mph),,,1370 mm (53.9 inches),,,2001,,Expanding brake,,,24.0 HP (17.5  kW)) @ 5250 RPM,
2962,,812 Millennium,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7000 RPM,,,122.0 kg (269.0 pounds),,,,"Single cylinder, two-stroke",,,,124.0 ccm (7.57 cubic inches),,,,,,,,,,Jawa,5-speed,,,Custom / cruiser,,,,,,,2001,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",10.0 HP (7.3  kW)) @ 8700 RPM,
2963,Liquid,250 Master - Tempo,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,132.0 kg (291.0 pounds),,,,"Single cylinder, two-stroke",,,,250.0 ccm (15.26 cubic inches),Single disc,,,,,,17.00 litres (4.49 US gallons),,,Jawa,5-speed,,,Naked bike,,,,,,,2000,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",26.0 HP (19.0  kW)) @ 7000 RPM,
2964,Air,350 Chopper,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),,,,,,,,,,Jawa,4-speed,,,Custom / cruiser,,,,,,,2000,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2965,Air,350 Style,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,Electric,350.0 ccm (21.36 cubic inches),,,,,,,17.00 litres (4.49 US gallons),,,Jawa,4-speed,,,Naked bike,,,,,,,2000,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2966,Air,350 Tramp,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),,,,,,,,,,Jawa,4-speed,,,Enduro / offroad,,,,,,,2000,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2967,Air,640 Classic,,,,149.0 kg (328.5 pounds),,,,"Single cylinder, two-stroke",,,,344.0 ccm (20.99 cubic inches),,,,,,,17.00 litres (4.49 US gallons),,,Jawa,,,,Naked bike,120.0 km/h (74.6 mph),,,1370 mm (53.9 inches),,,2000,,Expanding brake,,,24.0 HP (17.5  kW)) @ 5250 RPM,
2968,Air,812 Millennium,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7000 RPM,,,122.0 kg (269.0 pounds),,,,"Single cylinder, two-stroke",,,,124.0 ccm (7.57 cubic inches),Expanding brake,,,,,,,,,Jawa,5-speed,,,Naked bike,,,,,,,2000,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",10.0 HP (7.3  kW)) @ 8700 RPM,
2969,Air,640 Classic,,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,344.0 ccm (20.99 cubic inches),Expanding brake,,,,,,17.00 litres (4.49 US gallons),,,Jawa,,,,Naked bike,120.0 km/h (74.6 mph),,,1370 mm (53.9 inches),,,1999,,Expanding brake,,,24.0 HP (17.5  kW)) @ 5250 RPM,
2970,Liquid,250 Master - Tempo,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),132.0 kg (291.0 pounds),,,,"Single cylinder, two-stroke",,,,250.0 ccm (15.26 cubic inches),Single disc,,,,,,,,,Jawa,5-speed,,,Allround,,,,,,,1998,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",26.0 HP (19.0  kW)) @ 7000 RPM,
2971,Air,350 Chopper,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),Single disc,,,,,,,,,Jawa,4-speed,,,Custom / cruiser,,,,,,,1998,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2972,Air,350 Style,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),Single disc,,,,,,,,,Jawa,4-speed,,,Allround,,,,,,,1998,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2973,Air,350 Tramp,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,350.0 ccm (21.36 cubic inches),Single disc,,,,,,,,,Jawa,4-speed,,,Enduro / offroad,,,,,,,1998,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2974,,250 Master - Tempo,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),135.0 kg (297.6 pounds),,,,"Single cylinder, two-stroke",,,,250.0 ccm (15.26 cubic inches),Single disc,,,,,,,,,Jawa,5-speed,,,Allround,,,,,,,1997,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",26.0 HP (19.0  kW)) @ 7000 RPM,
2975,Air,350 Chopper,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,344.0 ccm (20.99 cubic inches),,,,,,,,,,Jawa,4-speed,,,Custom / cruiser,120.0 km/h (74.6 mph),,,,,,1997,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2976,Air,350 Style,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,344.0 ccm (20.99 cubic inches),Single disc,,,,,,,,,Jawa,4-speed,,,Sport touring,120.0 km/h (74.6 mph),,,,,,1997,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2977,Air,350 Tramp,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Chain   (final drive),149.0 kg (328.5 pounds),,,,"Twin, two-stroke",,,,344.0 ccm (20.99 cubic inches),Single disc,,,,,,,,,Jawa,4-speed,,,Allround,120.0 km/h (74.6 mph),,,,,,1997,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",23.0 HP (16.8  kW)) @ 5250 RPM,
2978,Air,Chopper 125,,,Chain   (final drive),122.0 kg (269.0 pounds),,,,"Single cylinder, four-stroke",,,,124.0 ccm (7.57 cubic inches),,,,,,,,,,Jawa,5-speed,,,Custom / cruiser,,,,,,,1997,,Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",13.0 HP (9.5  kW)),
2979,Air,330 Style,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Chain   (final drive),142.0 kg (313.1 pounds),,,,"Twin, two-stroke",,,,326.0 ccm (19.89 cubic inches),Expanding brake,,,,,,,,,Jawa,4-speed,,,Naked bike,,,,,,,1996,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",22.9 HP (16.7  kW)) @ 5500 RPM,
2980,,593 Enduro City 250,,,Chain   (final drive),132.0 kg (291.0 pounds),,,,"Single cylinder, two-stroke",,,,250.0 ccm (15.26 cubic inches),Single disc,,,,,,,,,Jawa,5-speed,,,Allround,,,,,,,1996,,Single disc,,,27.8 HP (20.3  kW)) @ 7000 RPM,
2981,,593 Enduro Sport 250,,,Chain   (final drive),132.0 kg (291.0 pounds),,,,"Single cylinder, two-stroke",,,,250.0 ccm (15.26 cubic inches),Single disc,,,,,,,,,Jawa,5-speed,,,Allround,,,,,,,1996,,Single disc,,,27.8 HP (20.3  kW)) @ 7000 RPM,
2982,Air,639 Chopper 350,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Chain   (final drive),147.0 kg (324.1 pounds),,,,"Twin, two-stroke",,,,343.0 ccm (20.93 cubic inches),Expanding brake,,,,,,,,,Jawa,4-speed,,,Custom / cruiser,120.0 km/h (74.6 mph),,,,,,1996,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.6 HP (17.2  kW)) @ 5250 RPM,
2983,Air,640 Sport 350,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Chain   (final drive),160.0 kg (352.7 pounds),,,,"Twin, two-stroke",,,,343.0 ccm (20.93 cubic inches),Expanding brake,,,,,,,,,Jawa,4-speed,,,Sport,,,,,,,1996,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.6 HP (17.2  kW)) @ 5250 RPM,
2984,Air,640 Style 350,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Chain   (final drive),150.0 kg (330.7 pounds),,,,"Twin, two-stroke",,,,343.0 ccm (20.93 cubic inches),Expanding brake,,,,,,,,,Jawa,4-speed,,,Naked bike,,,,,,,1996,,Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",23.6 HP (17.2  kW)) @ 5250 RPM,
2985,Air,350 Chopper,31.4 Nm (3.2 kgf-m or 23.2 ft.lbs) @ 4750 RPM,,Chain   (final drive),147.0 kg (324.1 pounds),,,,"Twin, two-stroke",,,,344.0 ccm (20.99 cubic inches),Expanding brake,,,,,,,,,Jawa,4-speed,,,Custom / cruiser,,,,,,,1995,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",23.5 HP (17.2  kW)) @ 5250 RPM,
2986,Air,640 Black Style,31.4 Nm (3.2 kgf-m or 23.2 ft.lbs) @ 4750 RPM,,Chain   (final drive),150.0 kg (330.7 pounds),,,,"Twin, two-stroke",,,,344.0 ccm (20.99 cubic inches),Expanding brake,,,,,,,,,Jawa,4-speed,,,Naked bike,,,,,,,1995,,Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",23.5 HP (17.2  kW)) @ 5250 RPM,
